units_sold_360,units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
98,121,Suspension Strut Mount,2,False,Volkswagen,Suspension,Mountings & Bushings,2017,35250,False,False,False,6
6632,3567,Windshield Washer Pump Grommet,2,True,Volkswagen,Body,Wiper & Washer System,2016,5286394,True,True,True,4
73,37,Manual Transmission Selector Rod,1,False,Volkswagen,Transmission,Miscellaneous,2021,112476,True,True,False,9
26,243,Automatic Transmission Drain Plug,1,True,BMW,Transmission,Miscellaneous,2018,233486,False,True,False,0
940,701,Suspension Ball Joint Lock Plate,2,True,Porsche,Suspension,Ball Joints,2017,49737,True,True,False,2
133,135,Engine Coolant Hose,1,False,BMW,Cooling,"Hoses, Pipes, Tubes",2021,10471,False,True,True,16
154,165,Door Mirror,1,False,Lotus,Body,Doors & Windows,2021,6675,True,False,False,14
115,198,Engine Coolant Reservoir Cap,1,True,Jaguar,Cooling,Caps & Boots,2019,138926,True,True,False,6
364,250,Radiator Coolant Hose,1,False,Porsche,Cooling,"Hoses, Pipes, Tubes",2020,10798,True,True,True,14
568,474,Engine Air Intake Hose,1,True,BMW,Fuel,"Hoses, Pipes, Tubes",2019,22192,True,True,True,5
720,333,Coil Spring Shim,2,True,BMW,Suspension,Mountings & Bushings,2019,294638,True,True,True,5
353,570,Engine Water Pump,1,False,Land Rover,Cooling,Water Pumps,2017,129244,True,True,False,3
933,1023,Drive Belt Tensioner,1,False,Seat,Engine,Pulleys & Tensioners,2021,773233,True,True,True,12
143,138,Engine Cooling Fan Clutch,1,False,Mercedes-Benz,Cooling,Clutches,2021,53350,True,False,True,14
7,3,Engine Coolant Hose,1,False,Porsche,Cooling,"Hoses, Pipes, Tubes",2016,7738,False,True,False,8
1731,121,Windshield Seal,1,False,MG,Body,Gaskets & Seals,2017,31842,False,True,False,9
333,370,Radiator Coolant Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2021,52934,False,True,True,22
297,13,Suspension Control Arm Bushing,1,False,Mini,Suspension,Mountings & Bushings,2019,168538,True,True,False,0
73,88,Power Steering Reservoir,1,False,Audi,Steering,Steering,2020,234092,False,True,True,10
69,62,Turn Signal Light Assembly,1,False,Mercedes-Benz,Electrical,Turn Indicator Lamps,2020,38282,True,True,False,21
60,38,Disc Brake Pad Wear Sensor,2,False,Mercedes-Benz,Brakes,Sensors & Senders,2019,174284,True,False,False,11
45,45,Door Window Switch,2,False,Audi,Electrical,"Relays, Switches, Solenoids",2016,211088,True,True,False,1
58,63,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2021,31071,True,True,False,17
4,125,Suspension Control Arm,1,False,Volvo,Suspension,Control Arms,2016,73500,True,False,False,8
177,460,Radiator Coolant Hose,1,True,Saab,Cooling,"Hoses, Pipes, Tubes",2016,37253,True,True,False,6
426,248,Door Mirror,2,False,Fiat,Body,Doors & Windows,2016,6675,False,True,False,9
2324,1340,Door Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2016,41848,True,True,True,15
9,10,Engine Crankcase Breather Hose,1,True,Volvo,Fuel,Emissions,2016,41071,False,True,False,1
91,151,Engine Cooling Fan Blade,1,False,BMW,Cooling,Fans,2016,33234,True,False,False,8
1192,956,Secondary Air Injection Pump Bushing,3,True,Audi,Fuel,Mountings & Bushings,2019,557851,True,True,True,7
352,334,Trunk Lid Seal,1,True,Porsche,Body,Gaskets & Seals,2018,23876,True,True,False,2
80,27,Fuel Tank Sending Unit,1,False,Oldsmobile,Fuel,Sensors & Senders,2019,45127,False,False,False,1
261,162,Antenna Mast,1,True,BMW,Electrical,Antenna,2019,117763,True,True,True,8
1806,1424,Windshield Molding Joint Cover,1,True,Mercedes-Benz,Body,Gaskets & Seals,2017,67284,True,True,True,18
52,42,Hatch Lift Support,2,False,BMW,Body,Lift Struts,2021,15594,False,True,False,4
62,132,Window Regulator,1,False,BMW,Body,Regulators,2016,88050,True,False,True,8
1327,940,Power Antenna,1,False,Volvo,Electrical,Antenna,2019,434354,True,True,True,0
330,839,HVAC Blower Motor Resistor,1,False,Dodge,Climate Control,Motors & Servos,2019,1970972,True,True,False,0
415,318,A/C Expansion Valve,1,False,Saab,Climate Control,Expansion Valve,2019,122574,True,True,False,14
90,85,Suspension Control Arm,1,False,Land Rover,Suspension,Control Arms,2019,42586,False,True,False,2
36,61,Engine Variable Timing Solenoid,1,False,Infiniti,Engine,"Relays, Switches, Solenoids",2021,2093634,False,False,False,1
323,224,Suspension Stabilizer Bar Bushing,2,True,Porsche,Suspension,Mountings & Bushings,2019,105981,False,True,False,1
45,66,Radiator Coolant Hose,1,False,Saab,Cooling,"Hoses, Pipes, Tubes",2017,4720,True,True,True,14
46,305,Radiator Coolant Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2016,52812,True,True,True,9
1088,804,Interior Door Handle,2,False,BMW,Body,Doors & Windows,2017,83569,True,True,True,5
468,477,Turbocharger Coolant Line,2,True,Volvo,Cooling,"Turbo, Parts & Controls",2020,752896,True,True,True,11
1258,1670,Alternator Bracket Bushing,2,True,Volvo,Engine,Engine Mechanical,2019,91781,True,True,True,12
360,284,Suspension Stabilizer Bar Link,2,False,BMW,Suspension,Stabilizers,2017,207798,True,True,False,7
116,109,Radiator Coolant Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2021,9514,True,True,True,22
1389,271,Fuel Pump Mount,2,True,Porsche,Fuel,Mountings & Bushings,2016,36221,True,True,False,1
