units_sold,id,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
1,49~143482,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2019,40580,14,False,False,False
8,49~143482,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2018,40580,13,False,False,False
20,49~143482,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2017,40580,12,False,False,False
9,49~143482,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2016,40580,11,False,False,False
11,49~141904,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2020,40580,15,False,False,False
11,49~141904,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2019,40580,14,False,False,False
20,49~141904,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2018,40580,13,False,False,False
38,49~141904,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2017,40580,12,False,False,False
33,49~141904,2006-02-09 20:00:00.000,1,False,BMW,Accessories,2016,40580,11,False,False,False
3,66~144466,2006-02-06 20:00:00.000,1,False,Land Rover,Accessories,2018,22130,13,False,False,False
2,66~144466,2006-02-06 20:00:00.000,1,False,Land Rover,Accessories,2017,22130,12,False,False,False
6,66~144466,2006-02-06 20:00:00.000,1,False,Land Rover,Accessories,2016,22130,11,False,False,False
154,16~125122,2006-02-06 20:00:00.000,1,False,Mercedes-Benz,Body,2020,3375,15,True,True,False
131,16~125122,2006-02-06 20:00:00.000,1,False,Mercedes-Benz,Body,2019,3375,14,True,True,False
156,16~125122,2006-02-06 20:00:00.000,1,False,Mercedes-Benz,Body,2018,3375,13,True,True,False
132,16~125122,2006-02-06 20:00:00.000,1,False,Mercedes-Benz,Body,2017,3375,12,True,True,False
181,16~125122,2006-02-06 20:00:00.000,1,False,Mercedes-Benz,Body,2016,3375,11,True,True,False
36,16~125599,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2020,4995,15,True,False,True
30,16~125599,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2019,4995,14,True,False,True
62,16~125599,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2018,4995,13,True,False,True
50,16~125599,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2017,4995,12,True,False,True
80,16~125599,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2016,4995,11,True,False,True
39,16~125623,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2020,4995,15,True,False,True
31,16~125623,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2019,4995,14,True,False,True
50,16~125623,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2018,4995,13,True,False,True
60,16~125623,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2017,4995,12,True,False,True
68,16~125623,2006-02-06 20:00:00.000,1,False,BMW,Cooling,2016,4995,11,True,False,True
14,16~126655,2006-01-31 20:00:00.000,1,False,Mercedes-Benz,Cooling,2020,16681,15,True,True,False
38,16~126655,2006-01-31 20:00:00.000,1,False,Mercedes-Benz,Cooling,2019,16681,14,True,True,False
22,16~126655,2006-01-31 20:00:00.000,1,False,Mercedes-Benz,Cooling,2018,16681,13,True,True,False
