Model
1
1 1/2 Litre
1.5
1.6EL
1.7EL
100
100 Series
100-22
100-24
100-6
1000
1000 Series
102-22
104
105
110
1100
1100D
114
115
1200
1200c
122
124
124 Spider
125
128
1300
131
134
135
135M
135MS
1400
142
144
145
148L
150
150-22
150-24
1500
1500 Classic
1500 Series
1600
1600TI
1602
164
166
170
170 D
170 S
170 V
1700
170S-V
175
178
180
1800
1800TI
1802
180A
180B
180C
180D
18I
190
1900
1900C
190B
190C
190D
190DB
190DC
190SL
195
1M
2
2 1/2 LITER
2 1/2 Litre
2-Litre
2.2CL
2.3CL
2.4
2.5TL
2.6
2.8 Bavaria
200
2000
2000 GTX
2000C
2000CS
2000GT
2000TI
2000TII
2002
2002TI
2002TII
200D
200SX
203
210
2100
211
212
219
220
220A
220B
220D
220S
220SB
220SE
221
222
223
228
228i
228xi
230
230i
230S
230SL
230xi
235
240
240D
240SX
240z
242
244
245
250
250 Europa
250 GT
250 GTE
250 LM
250-22
250-24
2500
2500 Series
2500 Sprinter
2500M
250C
250S
250SE
250SEC
250SL
253-22
260
2600
260z
262
264
265
275 GT
275 GTB
275 GTS
275 LM
280
280-22
2800
2800CS
280C
280CE
280E
280S
280SE
280SEC
280SEL
280SL
280z
280ZX
2R10
2R11
2R16
2R16A
2R17
2R17A
2R5
2R6
3
3 LITRE
3-Litre
3.0CL
3.0CS
3.0CSI
3.0CSL
3.0S
3.0SI
3.2CL
3.2TL
3.4
3.5RL
3.8
300
300-24
3000
3000 GT
3000M
300B
300C
300CD
300D
300M
300S
300SC
300SD
300SE
300SEL
300SL
300TD
300ZX
304
308
308 GTB
308 GTS
310
3100
318
320
320 Truck
3200
3200CS
320I
323
325
328
330
330 GT
330 GTC
330 GTS
330e
330i
330xe
330xi
335
340
340 America
3400
340xi
342 America
348
350
350-24
350-27
350-8
3500
3500 Sprinter
3500GT
3500GTI
3500S
350GT
350SL
350Z
356
356A
356B
356C
356SC
360
3600
365 GT
365 GT4
365 GT4 BB
365 GTB/4
365 GTC
365 GTC/4
365 GTS
365 GTS/4
370
3700
370Z
375 America
380
3800
3A
3B
3C
3D
3E
3E11D
3E12D
3E6D
3E7D
3F
3G
3R10
3R11
3R16
3R17
3R28
3R38
3R5
3R6
4-63 Pickup
4-73 Pickup
4-73 Sedan Delivery
4-75 Pickup
4-75 Sedan Delivery
4.5-Liter
4/4 Series I
4/4 Series II
4/4 Series III
4/4 Series IV
4/4 Series V
400
400 Superamerica
4000
400GT
401
402
403
404
405
406
407
408
409
410
410 Superamerica
411
412
420
425
427
428
430
430i
430xi
435
440
440i
440xi
442
444
445
4500
450SE
450SEL
450SL
450SLC
456
458 Italia
458 Speciale
458 Spider
475
488 GTB
488 Pista
488 Pista Spider
488 Spider
4C
4CV
4E11D
4E12D
4E2D
4E3D
4E7D
4Runner
5
500
500 Giardiniera
500 Superfast
5000
500L
500M
500X
501
501A
501B
502
503
504
505
507
510
512 BB
512TR
512TR / F512M
520 Pickup
520 Truck
521 Pickup
521 Truck
524
525
528
528I
530
530e
530I
530xe
533
535
540
540C
540xd
541
541R
541S
544
545
550
5500
560
570GT
570S
575
599
5E12D
5E13D
5E7D
6
6-226
6-230
60
60 Special
600
6000
600D
600LT
604
610
612
616
618
620
620 Pickup
620R
626
630CSI
633
633CSI
635
640
645
650
650S
675LT
6C 2500
6E12D
6E13D
6E7D
7000
710
720
720S
733
733I
735
740
740 / 760
745
745 / 765
745xe
75
750
760
765
765LT
770
780
7E12D
7E13D
80
808
80A
810
812 Competizione
812 GTS
812 Superfast
825
827
840
840i
840xi
850
86
88
880
8C Competizione
8E12D
8E13D
8E7D
8V
9-2
9-3
9-4X
9-5
9-7X
90
900
9000
90A
911
911 New Generation
912
914
918
92
924
928
929
92B
93
930
93B
93F
940
944
95
96
96 GT
96 Sport
960
968
98
99
A
A-230
A-240
A100
A100 Pickup
A100 Truck
A108 Van
A11
A11E
A125
A3
A30
A35
A4
A4 allroad
A40
A5
A6
A6 Allroad
A60
A6G/2000
A7
A8
A9
A90
A9L
Acadia
Acadia Limited
Acadian
Accent
Acclaim
Accord
Accord Crosstour
Ace
Aceca
Achieva
Active E
ActiveHybrid 3
ActiveHybrid 5
ActiveHybrid 7
Adventurer
Aerio
Aero Ace
Aero Comet
Aero Eagle
Aero Falcon
Aero Lark
Aero Wing
Aerobus
Aerostar
Air
Alero
Alfetta
Allante
Alliance
allroad
Allure
Allure/LaCrosse
Alpina B6
Alpina B7
Alpina B8
Alpine
Altima
Altra
Amanti
Ambassador
Ambassador Custom
Ambassador Special
Ambassador Super
America
American
AMG GT
AMI-6
Amigo
AMX
Anglia
Apollo
Aries
Armada
Arnage
Arrow
Arrow Pickup
Arteon
Ascender
Ascent
Aspen
Aspire
Astra
Astre
Astro
Atlantic
Atlas
Atlas Cross Sport
ATS
ATS-V
Aura
Aurora
Avalanche
Avalon
Avanti
Avenger
Aventador
Aveo
Aviator
Axiom
Axxess
Azera
Aztek
Azure
B
B-1
B-2
B-3
B-3 Van
B-4
B-4 Truck
B-Series
B100
B100 Van
B110
B1600
B1800
B200
B200 Van
B2000
B210
B2200
B2300
B250
B2500
B2600
B300
B300 Van
B3000
B3500
B4000
B7T042
B9 Tribeca
Baja
Barracuda
Bavaria
Beaumont
Beetle
Bel Air
Bellel
Belvedere
Belvedere II
Bentayga
Beretta
Berlina
Bermuda
Bertone
Biscayne
Biturbo
Blackhawk
Blackwood
Blazer
Bluebird
Bluebird 310
Bluebird 311
Bluebird 312
Bluebird 410
Bluebird 411
Bluebird 510
Bobcat
Bolide
Bolt EUV
Bolt EV
Bonneville
Bora
Borrego
Boxster
Brat
Brava
Bravada
Breeze
Breezeway
Bronco
Bronco II
Bronco Sport
Brooklands
Brookwood
Brougham
BRZ
bZ4X
C
C Generation 2006
C-1
C-1 Truck
C-3
C-4
C-HR
C-Max
C-Series
C-Type
C-V8
C10
C10 Panel
C10 Pickup
C10 Suburban
C1000 Pickup
C15
C15 Suburban
C15/C1500 Pickup
C15/C1500 Suburban
C1500
C1500 Suburban
C20
C20 Panel
C20 Pickup
C20 Suburban
C25
C25 Suburban
C25/C2500 Pickup
C25/C2500 Suburban
C2500
C2500 Suburban
C30
C30 Panel
C30 Pickup
C35
C35 Pickup
C35/C3500 Pickup
C3500
C40
C4500
C5000
C5500
C6000
C6400
C65
C6500
C70
C7000
C7500
Caballero
Cablight A120
Cablight A20
Cablight A220
Cabrio
Cabriolet
Cabstar A320
Cadenza
Calais
Caliber
Caliente
California
California T
Camargue
Camaro
Cambridge
Campmobile
Camry
Camry New Generation
Camry Solara
Canyon
Capri
Caprice
Caprice / Impala
Captiva
Caravan
Caravelle
Caribbean
Carina
Carmaque
Carnival
Carolina
Carrera
Cascada
Catalina
Catera
Cavalier
Cayenne
Cayman
CB300
CC
Cedric 30 Mark II
Cedric 31 Mark I
Celebrity
Celica
Centurion
Century
Challenger
Champ
Champion
Charade
Charger
Cherokee
Chevelle
Chevette
Chevy II
Chieftain
Chiron
Ciera
Cimarron
Cirrus
Citation
City Golf
City Jetta
Civic
CJ3
CJ5
CJ5A
CJ6
CJ6A
CJ7
CL
CLA
Clarity
Classic
Classic 98
Clipper
CLK
CLS
Club
Club Wagon
Cobalt
Cobra
Colony Park
Colorado
Colt
Comanche
Comet
Commander
Commando
Commercial Chassis
Commodore Series
Commuter
Compass
Concord
Concorde
Conquest
Consul
Continental
Contour
Conventional
Cooper
Cooper Coupe
Cooper Roadster
Cordia
Cordoba
Corniche
Corolla
Corolla Cross
Corolla iM
Corolla Matrix
Corona
Coronet
Corrado
Corsair
Corsica
Cortina
Corvair
Corvair Truck
Corvette
Cosmo
Cosmopolitan
Cougar
Countach
Country Cruiser
Country Sedan
Country Squire
Countryman
Coupe
Courier
Courier Sedan Delivery
CR-V
CR-Z
Cranbrook
Cressida
Crestline
Cricket
Crosley
Crossfire
Crosstour
Crosstrek
Crown
Crown Victoria
Cruiser
Cruze
Cruze Limited
CSX
CT
CT4
CT4-V
CT5
CT5-V
CT6
CT6-V
CTS
CTS-V
Cube
Cuda
Cullinan
Custom
Custom 300
Custom 500
Custom Cruiser
Custom Eight
Customline
Cutaway Van
Cutlass
Cutlass Calais
Cutlass Ciera
Cutlass Cruiser
Cutlass Salon
Cutlass Supreme
Cutlass Tiara
CX-3
CX-30
CX-5
CX-50
CX-7
CX-9
Cyclone
D Special
D-Series
D-Type
D10
D100
D100 Pickup
D100 Series
D150
D200
D200 Pickup
D200 Series
D21
D30
D300
D300 Pickup
D300 Series
D400
D450
D50
D500
D501
D6
Dakota
Darrin
Dart
Dasher
Dauphine
Dawn
Daytona
DB
DB11
DB18
DB2
DB2-4
DB3
DB4
DB5
DB6
DB7
DB9
DBD
DBS
DBX
De Ville
DE27
DE36
Defender
Del Rio Wagon
Delmont 88
Delta 88
Deluxe
Deluxe 88
Deluxe Eight
Denali
DeSoto
Deville
Devon
Diablo
Diamante
Dino 206 GT
Dino 246 GT
Dino 246 GTS
Dino 308 GT4
Diplomat
Discovery
Discovery II
Discovery Sport
Dispatcher
DJ3
DJ5
DJ6
DK400
DL
Dragon
DS19
DS21
DS21 Pallas
DTS
Duetto 1600
Duplex
Durango
Duster
Dynamic
Dynasty
E
E-100 Econoline
E-100 Econoline Club Wagon
E-150 Econoline
E-150 Econoline Club Wagon
E-200 Econoline
E-250 Econoline
E-250 Econoline Club Wagon
E-300 Econoline
E-350 Econoline
E-350 Econoline Club Wagon
E-Class
e-Golf
E-PACE
e-tron
e-tron GT
e-tron S
E10
E11
E12
E13
E14
E15
E16
E17
E28
E38
E5
E6
E7
Eagle
Echo
Eclat
Eclipse
Eclipse Cross
Econoline
EcoSport
Edge
Eight
El Camino
Elan
Elantra
Elantra Coupe
Elantra GT
Elantra N
Elantra Touring
Eldorado
Electra
Element
Eleven
Elf
Elf I
Elise
Elite
ELR
Empress
Enclave
Encore
Encore GX
Endeavor
Entourage
Envision
Envoy
Enzo
EOS
Epica
EQB
EQS
Equator
Equinox
Equinox Limited
Equus
ES
Escalade
Escape
Escort
Espada
Esprit
Estate
Estate Wagon
Esteem
Europa
Eurovan
EV Plus
EV6
Evora
EX35
EX37
Excel
Excursion
Executive
Exige
Expedition
Explorer
Explorer Sport Trac
Expo
Express Cutaway
Express G1500
Express G2500
Express G3500
Express G4500
Express Van
F
F Series
F-134
F-150 Heritage
F-PACE
F-Type
F1
F10
F100
F12 Berlinetta
F12TDF
F131
F150
F164 BCB
F2
F250
F3
F350
F350-24
F350-27
F355
F370
F4
F4-134
F40
F430
F450
F50
F53
F530
F550
F575
F59
F590
F60 America
F600
F6000
F650
F700
F7000
F750
F8 Spider
F8 Tributo
F800
F8000
F85
FA-134
Fairlady SP310
Fairlady SP311
Fairlady SPL212
Fairlady SPL213
Fairlady SR311
Fairlane
Fairmont
Falcon
Falcon Sedan Delivery
Farm-O-Road
Fastback
FC100
FC100-22
FC101
FC102
FC150
FC152
FC170
FC170HD
FC250
FC251
FC252
FC253
FC280
FC281
FC300
FC350
FCS300
FCS350
FCX
FCX Clarity
FE
Festiva
FF
FF350
Fiero
Fiesta
Fifth Avenue
Figo
Firebird
Firedome
Fireflite
Firefly
Firenza
Firesweep
Fit
Fit EV
Five Hundred
FJ Cruiser
FJ3
FJ3A
FJ8
Fleet Special
Fleetline
Fleetline Truck
Fleetwood
Flex
Flight Hawk
Flying Spur
FM340
FM350
Focus
Ford 300
Forenza
Forester
Forsa
Forte
fortwo
Forward Control Chassis
Four-Hundred
Fox
FP152
FR-S
Frazer
Freelander
Freestar
Freestyle
Fregate
Frontier
FRR
FSR
FTR
Fuego
Fury
Fury I
Fury II
Fury III
Fusion
FWD
FX35
FX37
FX45
FX50
G
G-P
G10
G10 Van
G1000 Series
G15
G15/G1500 Van
G1500
G20
G20 Van
G25
G25/G2500 Van
G2500
G3
G3 Wave
G30
G30 Van
G35
G35/G3500 Van
G3500
G37
G5
G6
G70
G8
G80
G90
Galant
Galaxie
Galaxie 500
Gallardo
Genesis
Genesis Coupe
Geo Prizm
Geo Spectrum
Geo Sprint
Geo Tracker
GF
Ghibli
Ghost
Giulia
Giulia Sprint
Giulietta
GL
GL-10
GLA
Gladiator
GLB
GLB 250
GLC
GLC Coupe
GLE
GLE Coupe
GLF
GLI
GLK
GLS
GMT-400
Golden Hawk
Golden Rocket 88
Golf
Golf Alltrack
Golf R
Golf SportWagen
Gordini
GR86
Gran
Gran Fury
Gran Sport
Gran Torino
Granada
Grand Am
Grand Caravan
Grand Cherokee
Grand Lamans
Grand Lemans
Grand Maquis
Grand Marquis
Grand Prix
Grand Safari
Grand Vitara
Grand Voyager
Grand Wagoneer
Grandville
Gransport
Grantura
Granturismo
Gremlin
Greyhound
Griffith
Grifo
GS
GS 350
GS 400
GS 455
GS Generation 2006
GS-6
GS-F
GT
GT America
GT Strada 5300
GT Veloce
GT-R
GT40
GT6
GT750
GT850
GTA
GTC
GTC4 Lusso
GTC4 Lusso T
GTI
GTO
GTV
GTX
GTZ
GV
GV60
GV70
GV80
GVC
GVL
GVS
GVX
GX
H-Series
H1
H1 Alpha
H2
H2 SUT
H3
H3100
H3T
H7500
Hansa 1500
Hansa 1800
Hansa 2400
Hawk
Healey
Herald
Hereford
HHR
Hi-Cube Van
Hi-Lux
Highlander
Hombre
Homer T641 Model
Honeybee
Horizon
Hornet
Hornet Special
Hot Shot
HR-V
HS
HTR
Hummer
Huracan
Husky
HVR
i MiEV
I-280
I-290
I-350
I-370
I-Mark
I-PACE
I1000
I1500
I2500
i3
I30
I35
I3500
i4 eDrive40
i4 M50
i8
ID.4
ID19
ILX
iM
IMP
Impala
Impala Limited
Imperial
Impreza
Impulse
Indy
Indy America
Insight
Integra
Interceptor
Intrepid
Intrigue
Invicta
Ion
IONIQ
IONIQ 5
IS
IS-F
Isabella
Isetta
Islero
Italia
iX
J-100
J-200
J-210
J-220
J-230
J-2500
J-2600
J-2700
J-2800
J-300
J-310
J-320
J-330
J-3500
J-3600
J-3700
J-3800
J-4500
J-4600
J-4700
J-4800
J-72
J.72
J10
J20
J2000
J30
Jalpa
Jarama
Javelin
Jeep
Jeep Truck
Jeepster
Jet
Jetfire
Jetliner
Jetstar 88
Jetstar I
Jetta
Jimmy
Jimmy / Envoy
Jimny
