VendorPartNo,Make,vehicleMaxQty,Category,IsDevelopment,Worldpac,PartsAuthority,SSF,WorldPac(2016),PartsAuthority(2016),SSF(2016),Total Units Sold(2016),WorldPac(2017),PartsAuthority(2017),SSF(2017),Total Units Sold(2017),WorldPac(2018),PartsAuthority(2018),SSF(2018),Total Units Sold(2018),WorldPac(2019),PartsAuthority(2019),SSF(2019),Total Units Sold(2019),WorldPac(2020),PartsAuthority(2020),SSF(2020),Total Units Sold(2020),UnitsSold360,VIO_US,VIO_CANADA,FirstSoldDate
K081919,Porsche,2,Suspension,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,52968,5850,09/17/20
SF-005D-3,Volkswagen,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,715184,148621,09/17/20
ZL-VS1006,Volvo,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,46817,5872,09/16/20
180506,Mercury,2,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1090405,0,09/16/20
K071872,BMW,2,Body,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8092,541,09/16/20
BJ-9308,Toyota,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,460072,0,09/16/20
SF-004U-2,Audi,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,115214,16622,09/16/20
ES-BZ05,Freightliner,1,Climate Control,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,16,919480,83310,09/16/20
ZL-BZ1010,Mercedes-Benz,1,Engine,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,147554,7821,09/16/20
JJEP-A891-2,Mercedes-Benz,1,Fuel,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,18,447833,30596,09/16/20
RLL85938-F,BMW,1,Suspension,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,425364,55609,09/16/20
RLL85937-F,BMW,1,Suspension,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,425364,55609,09/16/20
180224,Toyota,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,146429,0,09/16/20
102062,Audi,1,Suspension,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,54340,3908,09/16/20
180314,Kia,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,955747,0,09/16/20
SF-04AC-2,Audi,1,Body,,Yes,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,15,24,85364,9184,09/15/20
SF-04AC-1,Audi,1,Body,,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,107,143486,15680,09/15/20
SF-005E-2,Volkswagen,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,27,650105,106930,09/15/20
180150,Infiniti,2,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1364557,0,09/15/20
180250,Infiniti,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,447729,0,09/15/20
07K 133 062A,Volkswagen,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,935152,130549,09/14/20
M041979,Mercedes-Benz,1,Fuel,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,966002,80303,09/14/20
GM005MG0,Pontiac,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64237,0,09/14/20
A149,Land Rover,1,Cooling,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20578,1124,09/14/20
SF-009C-2,Scion,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,3543611,0,09/14/20
SF-009A-4,Scion,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9232687,0,09/14/20
SF-004Q-1,Audi,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1054019,148324,09/14/20
SF-004W-1,Volkswagen,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,169613,22770,09/14/20
BN-1027,Volkswagen,1,Engine,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,84857,9031,09/14/20
SF-004Q-3,Audi,1,Body,,Yes,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,15,15,818578,131472,09/11/20
JC162,Scion,1,Electrical,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,14127372,0,09/11/20
SF-04AM-1,Volkswagen,1,Body,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,192144,35624,09/11/20
SF-04AM-4,Audi,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,15,169158,24504,09/11/20
VW001HK0,Volkswagen,1,Cooling,,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,394341,95484,09/10/20
SF-005D-1,Volkswagen,1,Body,,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,30,1053717,209496,09/10/20
