"timestamp","source","level","message"
"2019-08-29T13:12:35.320Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: [13] records to be inserted"
"2019-08-29T14:10:02.730Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status response \n{""id"":""5d67dcbaa80ef6000cdfafdb"",""name"":""demoJob3"",""created_at"":""2019-08-29T14:10:02Z"",""status"":""created"",""timespan"":{""from"":""2019-08-29T11:57:32Z"",""to"":""2019-08-29T13:00:00Z""},""_links"":{""self"":{""href"":""https://api.talkdeskapp.com/reports/calls/jobs/5d67dcbaa80ef6000cdfafdb""},""files"":{""href"":""https://api.talkdeskapp.com/reports/calls/files/5d67dcbaa80ef6000cdfafdb""}}}"
"2019-08-29T14:10:02.730Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: waiting for report to generate sleep time [30]"
"2019-08-29T14:10:34.291Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
"2019-08-29T14:10:39.325Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job status code [503]"
"2019-08-29T12:12:33.799Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: [5] records to be inserted"
"2019-08-29T12:12:34.218Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: requests Completed Successfully"
"2019-08-29T12:10:33.025Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job status code [200]"
"2019-08-29T12:10:33.381Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: <--initiating concurrent requests-->"
"2019-08-29T12:10:33.758Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total map_url: [2]"
"2019-08-29T12:10:33.760Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: in missing values"
"2019-08-29T12:10:01.015Z","EC2AMAZ-ROE9IQD","6","Calls metadata : d789df07-9099-495e-b66a-090e6794baee"
"2019-08-29T12:10:01.015Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: started execution"
"2019-08-29T12:10:01.939Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job status response \n{""id"":""5d67c099457a210007514e6b"",""name"":""demoJob3"",""created_at"":""2019-08-29T12:10:01Z"",""status"":""created"",""timespan"":{""from"":""2019-08-29T09:05:16Z"",""to"":""2019-08-29T11:00:00Z""},""_links"":{""self"":{""href"":""https://api.talkdeskapp.com/reports/calls/jobs/5d67c099457a210007514e6b""},""files"":{""href"":""https://api.talkdeskapp.com/reports/calls/files/5d67c099457a210007514e6b""}}}"
"2019-08-29T11:10:01.016Z","EC2AMAZ-ROE9IQD","6","Calls metadata : 6e76a351-f60e-48bb-ac94-1b1b1a909308"
"2019-08-29T11:10:01.075Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: DATE: [2019-08-29T07:49:51] to [2019-08-29T10:00:00.074511]"
"2019-08-29T11:10:32.895Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Getting Job status code [200]"
"2019-08-29T11:10:33.272Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: chunk size: [1]"
"2019-08-29T11:10:33.272Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: total threads: [2]"
"2019-08-29T11:10:33.454Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: Deleted Successfully"
"2019-08-29T15:10:03.326Z","EC2AMAZ-ROE9IQD","6","CallsMetadata: job response code: [200]"
