units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,no_of_days,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
113,Radiator Coolant Hose,1,False,BMW,Cooling,"Hoses, Pipes, Tubes",2017,32841,365,True,True,False,11
23,Axle Vent Tube,1,False,Volvo,Drivetrain & Hub,Axle and Differential,2018,174910,365,True,True,False,5
72,Engine Cooling Fan Clutch,1,False,Mercedes-Benz,Cooling,Clutches,2017,5896,365,True,True,True,10
168,Engine Coolant Reservoir Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2017,5904,365,True,True,True,14
1085,Disc Brake Pad Wear Sensor,1,False,BMW,Brakes,Sensors & Senders,2016,98705,365,False,True,False,5
70,Engine Water Pump,1,False,Volkswagen,Cooling,Water Pumps,2016,44198,365,True,False,False,2
20,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2020,7899,365,True,True,False,18
98,Engine Air Intake Hose,1,False,Mercedes-Benz,Fuel,"Hoses, Pipes, Tubes",2020,229494,365,True,True,False,1
166,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2017,57509,365,True,True,True,13
4497,Disc Brake Pad Wear Sensor,3,False,Maybach,Brakes,Sensors & Senders,2020,2423575,365,True,True,False,12
40,Suspension Subframe Mounting Kit,1,False,BMW,Suspension,Mountings & Bushings,2017,151134,365,True,True,False,10
84,Auxiliary Engine Cooling Fan Assembly,1,False,BMW,Cooling,Fans,2018,464420,365,True,True,True,1
42,HVAC Heater Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2018,21720,365,True,False,False,19
758,Engine Crankcase Breather Hose,1,False,Volvo,Fuel,Emissions,2017,415564,365,False,True,True,5
72,Engine Coolant Thermostat Housing,1,True,Saab,Cooling,Flanges & Housings,2016,111803,141,True,True,True,0
31,Shock Mount,2,False,Volkswagen,Suspension,Mountings & Bushings,2018,208064,365,False,False,False,1
115,Brake Master Cylinder,1,False,BMW,Brakes,Hydraulic Cylinders,2018,2910,365,True,True,False,7
15,Window Regulator,1,False,Dodge,Body,Regulators,2016,67317,323,True,True,True,0
409,Engine Coolant Pipe Adapter,1,False,Audi,Cooling,"Hoses, Pipes, Tubes",2017,450926,365,True,False,True,5
328,Disc Brake Pad Wear Sensor,1,False,BMW,Brakes,Sensors & Senders,2020,160773,365,False,True,False,13
29,Disc Brake Pad Wear Sensor,1,False,BMW,Brakes,Sensors & Senders,2020,44463,365,True,True,False,13
221,Fuel Pump Relay,1,False,Audi,Electrical,"Relays, Switches, Solenoids",2016,849401,365,False,True,False,5
71,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2020,5378,365,True,True,True,13
89,Multi Purpose Relay,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2020,55269,365,True,True,True,11
5,Suspension Ball Joint,1,False,Volkswagen,Suspension,Ball Joints,2017,1600,365,True,True,False,7
88,HVAC Blower Motor,1,False,BMW,Climate Control,Motors & Servos,2017,38877,365,True,True,False,8
305,Door Lock Striker,2,False,Mercedes-Benz,Body,Doors & Windows,2018,79770,365,True,False,True,5
992,Power Brake Booster Vacuum Valve,1,False,BMW,Brakes,Miscellaneous,2018,417314,365,True,True,True,4
544,Windshield Washer Pump,1,False,Volvo,Body,Wiper & Washer System,2019,494598,365,False,False,False,4
1192,Fuel Injection Fuel Accumulator,1,True,Mercedes-Benz,Fuel,Fuel Supply,2020,64538,365,True,True,True,3
23,Door Window Switch,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2019,9339,365,True,True,True,12
81,Disc Brake Pad Wear Sensor,1,False,BMW,Brakes,Sensors & Senders,2020,95910,365,False,True,False,10
214,Tailgate Glass Hinge,2,True,Mercury,Body,Hinges & Latches,2019,818324,265,False,True,False,0
32,Engine Coolant Reservoir,1,False,Volkswagen,Cooling,Expansion Tanks & Parts,2019,10137,365,True,True,False,4
677,Fuel Pump Tank Seal,2,True,Audi,Fuel,Gaskets & Seals,2018,2209198,365,True,True,True,1
201,Engine Coolant Level Sensor,1,False,Volkswagen,Electrical,Sensors & Senders,2018,58993,365,True,False,False,5
1,Window Regulator,1,False,Volvo,Body,Regulators,2018,404392,365,True,False,False,5
5,A/C Clutch Relay,1,False,Audi,Electrical,"Relays, Switches, Solenoids",2019,12462,365,True,False,False,6
117,Radiator Coolant Hose,1,True,Mini,Cooling,"Hoses, Pipes, Tubes",2020,122577,365,True,False,True,1
104,Radiator Coolant Hose Kit,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2019,1248,365,True,False,False,11
321,HVAC Blower Motor,1,False,BMW,Climate Control,Motors & Servos,2018,124499,335,True,True,True,0
22,Engine Crankcase Breather Hose,1,False,Mercedes-Benz,Fuel,Emissions,2017,20582,365,True,False,False,9
56,Window Channel,2,False,Mercedes-Benz,Body,Gaskets & Seals,2020,8562,365,True,False,False,14
5,Engine Air Intake Hose,1,True,Porsche,Fuel,"Hoses, Pipes, Tubes",2018,10070,365,True,False,True,1
290,Steering Tie Rod End,2,False,Porsche,Steering,Steering,2019,96142,365,False,False,False,10
178,Suspension Control Arm,1,False,BMW,Suspension,Control Arms,2019,63467,365,False,True,False,12
122,Headlight Washer Pump Grommet,1,False,Porsche,Body,Wiper & Washer System,2020,302619,365,True,False,False,5
270,Power Steering Return Hose,1,False,Jaguar,Steering,"Hoses, Pipes, Tubes",2017,25451,365,True,True,True,4
346,Engine Coolant Reservoir,1,False,Mercedes-Benz,Cooling,Expansion Tanks & Parts,2016,129096,365,True,True,False,10
89,Window Regulator,1,False,BMW,Body,Regulators,2017,88050,365,False,True,True,9
12,Door Mirror Cover,1,False,Chrysler,Accessories,Exterior Trim,2018,322503,365,False,True,False,16
66,Turn Signal Light Assembly,1,False,Mercedes-Benz,Electrical,Turn Indicator Lamps,2017,41335,365,True,False,False,18
69,Suspension Control Arm Link Mount,1,False,Volkswagen,Suspension,Mountings & Bushings,2019,941577,365,True,False,False,8
123,Suspension Control Arm Bushing,2,False,Volvo,Suspension,Mountings & Bushings,2019,583863,365,False,True,False,8
138,Tow Hook Cover,1,False,BMW,Body,Bumpers & Moldings,2018,123068,365,True,True,False,5
83,Suspension Stabilizer Bar Bushing,2,False,Mini,Suspension,Mountings & Bushings,2018,243037,365,False,False,False,1
105,Radiator Coolant Hose,1,False,Land Rover,Cooling,"Hoses, Pipes, Tubes",2016,22830,365,True,True,False,15
86,Suspension Stabilizer Bar Link,2,False,Jaguar,Suspension,Stabilizers,2019,70202,365,False,True,False,7
73,HVAC Blower Motor Resistor,1,False,Jeep,Climate Control,Motors & Servos,2020,930319,365,False,True,False,1
39,Automatic Transmission Valve Body Seal,1,False,BMW,Transmission,Gaskets & Seals,2016,84954,151,True,False,False,0
22,Exterior Door Handle,1,False,Chevrolet,Body,Doors & Windows,2018,482063,365,False,True,False,6
148,Parking Brake Switch,1,True,Porsche,Brakes,"Relays, Switches, Solenoids",2019,64007,365,True,False,True,2
21,Suspension Control Arm Bushing,2,False,Mercedes-Benz,Suspension,Mountings & Bushings,2020,274826,365,False,True,False,8
257,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2017,21671,365,True,True,True,13
32,Fuel Tank Cap,1,False,Audi,Fuel,Caps & Boots,2020,161618,365,True,False,False,4
1288,Radiator Coolant Hose Flange,1,False,Volkswagen,Cooling,Flanges & Housings,2017,66418,365,True,True,True,2
78,Engine Air Box Hose,1,False,Jaguar,Fuel,"Hoses, Pipes, Tubes",2017,6499,365,True,True,False,18
29,Suspension Control Arm Bushing,1,False,BMW,Suspension,Mountings & Bushings,2017,34111,365,True,True,False,8
2,Deck Lid Molding,1,False,Land Rover,Accessories,Exterior Trim,2016,42586,365,False,False,False,8
40,Power Steering Pressure Hose,1,True,Jaguar,Steering,"Hoses, Pipes, Tubes",2020,36316,133,True,True,True,0
283,Door Mirror,2,False,Triumph,Body,Doors & Windows,2019,6675,365,True,False,False,12
7,A/C Hose Assembly,1,False,BMW,Climate Control,"Hoses, Pipes, Tubes",2020,34462,365,False,False,False,9
453,HVAC Blower Motor,1,False,Mercedes-Benz,Climate Control,Motors & Servos,2019,70193,365,True,True,True,8
57,Bumper Bellows,1,False,Porsche,Body,Bumpers & Moldings,2019,30851,365,True,True,True,7
241,Suspension Control Arm,1,False,BMW,Suspension,Control Arms,2018,562257,365,True,True,False,6
5,Radiator Coolant Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2019,556,365,True,False,False,20
52,Suspension Control Arm,1,False,Lincoln,Suspension,Control Arms,2020,33031,365,True,True,False,9
1738,Hard Top Storage Cart,1,False,Chevrolet,Accessories,Miscellaneous,2018,297628,365,True,True,True,19
766,Multi Purpose Relay,1,False,Land Rover,Electrical,"Relays, Switches, Solenoids",2017,620037,365,True,True,True,12
2229,Radiator Coolant Hose Flange,1,False,Volkswagen,Cooling,Flanges & Housings,2019,222248,365,True,True,True,7
59,Suspension Stabilizer Bar Bushing,2,False,BMW,Suspension,Mountings & Bushings,2019,154866,365,False,False,False,11
489,Engine Coolant Temperature Switch,1,False,Ford,Electrical,"Relays, Switches, Solenoids",2020,334622,365,True,False,False,14
28,Engine Cooling Fan Blade,1,False,Mercedes-Benz,Cooling,Fans,2017,47981,365,True,True,False,5
148,Suspension Control Arm,1,False,Mercedes-Benz,Suspension,Control Arms,2020,28345,365,True,True,True,3
65,Engine Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2019,61767,365,True,True,True,11
45,Power Steering Hose,1,False,Jaguar,Steering,"Hoses, Pipes, Tubes",2020,58970,365,True,True,True,6
24,HVAC Heater Control Valve O-Ring,1,False,Saab,Climate Control,Gaskets & Seals,2018,15383,365,True,False,False,8
457,Engine Timing Belt Tensioner,1,False,Volkswagen,Engine,Pulleys & Tensioners,2020,96830,365,False,True,False,10
1292,Engine Mount,2,False,Jaguar,Engine,Mountings & Bushings,2020,68724,365,True,True,True,11
76,Hood Lift Support,1,False,Volvo,Body,Lift Struts,2017,330892,365,True,True,False,9
46,Engine Timing Belt Tensioner,1,False,Dodge,Engine,Pulleys & Tensioners,2020,385437,341,False,True,False,0
89,Brake Light Switch,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2016,60815,365,False,False,False,6
302,Hard Top Storage Cart,1,False,Chevrolet,Accessories,Miscellaneous,2019,297628,365,False,True,False,20
57,Radiator Coolant Hose Kit,1,False,Triumph,Cooling,"Hoses, Pipes, Tubes",2019,2485,365,False,False,False,11
26,HVAC Heater Blend Door Actuator,1,False,Chevrolet,Climate Control,Motors & Servos,2020,1520074,365,False,True,False,2
6,Tail Light,1,False,Volvo,Electrical,Tail Lamps,2017,12749,365,True,False,False,18
69,Remote Key Button Insert,2,False,Audi,Electrical,Miscellaneous,2017,90180,365,True,True,True,5
111,Engine Oil Cooler Hose Assembly,1,False,Volvo,Engine,"Hoses, Pipes, Tubes",2017,123512,365,True,True,True,5
77,Steering Tie Rod Assembly,2,False,BMW,Steering,Steering,2017,232905,365,True,True,False,2
131,Suspension Control Arm Bushing,2,False,Jaguar,Suspension,Mountings & Bushings,2020,14124,365,True,True,False,6
155,Multi Purpose Relay,2,False,Mitsubishi,Electrical,"Relays, Switches, Solenoids",2020,1565108,365,False,True,False,6
408,Engine Oil Level Sensor Cover,1,False,Audi,Engine,Engine Mechanical,2016,208211,365,True,True,True,2
11,Engine Coolant Reservoir,1,False,Saab,Cooling,Expansion Tanks & Parts,2017,25,365,False,False,False,8
14,Suspension Control Arm Bushing,2,False,Audi,Suspension,Mountings & Bushings,2020,828417,365,False,True,False,9
604,Suspension Ball Joint,1,False,BMW,Suspension,Ball Joints,2016,60096,365,True,True,False,5
155,Multi Purpose Relay,2,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2020,1565108,365,False,True,False,6
253,Manual Transmission Shift Rod,1,False,Volkswagen,Transmission,"Cables, Controls, Levers",2017,22031,365,True,True,True,7
2762,Engine Valve Cover,1,False,Porsche,Engine,Engine Mechanical,2018,127117,365,True,True,True,1
129,Brake Light Switch,1,False,Mercedes-Benz,Electrical,"Relays, Switches, Solenoids",2019,72417,365,False,True,False,9
54,Fog Light,1,False,Volvo,Electrical,Fog Lamps,2019,53529,365,True,True,False,10
59,Drive Belt Idler Pulley,1,False,Porsche,Engine,Pulleys & Tensioners,2020,26923,365,True,True,True,7
12022,Engine Valve Cover Washer Seal,22,True,Land Rover,Engine,Gaskets & Seals,2018,1203139,365,True,True,False,6
674,Power Steering Reservoir,1,False,Volvo,Steering,Steering,2020,476303,365,True,True,False,8
23,Tail Light Molding,1,False,Mercedes-Benz,Accessories,Exterior Trim,2020,64741,365,False,False,False,15
449,Manual Transmission Shift Rod Bushing,4,True,Mercedes-Benz,Transmission,Mountings & Bushings,2020,3375,365,True,True,True,3
348,Disc Brake Caliper Piston Boot,8,False,Porsche,Brakes,Gaskets & Seals,2016,29123,365,False,False,False,3
120,Engine Mount,2,False,Porsche,Engine,Mountings & Bushings,2019,6867,365,True,False,False,3
357,Drive Belt Tensioner Pulley,1,False,Volvo,Engine,Pulleys & Tensioners,2020,664735,365,True,True,False,11
917,Radiator Coolant Hose Flange,1,False,Audi,Cooling,Flanges & Housings,2020,82198,365,True,True,True,3
255,Power Antenna,1,False,Porsche,Electrical,Antenna,2017,256672,365,True,True,False,17
4,Center Console,1,False,Mercedes-Benz,Accessories,Wood Trim,2020,68612,365,False,False,False,21
20,Engine Water Pump,1,False,Jeep,Cooling,Water Pumps,2020,190707,365,True,True,False,8
222,Engine Oil Pressure Switch,1,True,Porsche,Electrical,Sensors & Senders,2017,84017,99,True,True,True,0
288,Brake Master Cylinder,1,False,Porsche,Brakes,Hydraulic Cylinders,2020,18365,365,True,True,True,13
150,Sunroof Switch,1,False,Porsche,Electrical,"Relays, Switches, Solenoids",2017,51215,365,True,True,True,2
46,Radius Arm Bushing,1,False,Volvo,Suspension,Mountings & Bushings,2018,39718,365,True,False,False,19
65,Antenna Mast,1,False,Volvo,Electrical,Antenna,2020,58083,365,True,True,True,21
147,Trunk Lid Lift Support,2,True,Mini,Body,Lift Struts,2020,50292,365,True,True,False,2
67,Auxiliary Engine Cooling Fan Assembly,1,False,Audi,Cooling,Fans,2017,439183,271,True,True,False,0
280,Trunk Lid Lift Support,2,False,Porsche,Body,Lift Struts,2017,58581,365,False,True,False,7
398,Disc Brake Pad Wear Sensor,1,False,BMW,Brakes,Sensors & Senders,2019,63915,365,True,True,False,11
446,Washer Fluid Reservoir Mounting Grommet,1,False,Porsche,Body,Gaskets & Seals,2017,9583,365,True,False,True,4
1018,Engine Oil Pressure Sensor,1,False,Porsche,Electrical,Sensors & Senders,2017,57618,365,True,True,True,11
213,Drive Shaft Center Support,1,False,BMW,Drivetrain & Hub,Driveshaft,2019,23147,365,True,True,False,12
67,HVAC Pressure Switch,1,False,Volvo,Climate Control,"Relays, Switches, Solenoids",2020,681466,365,False,True,False,5
7,Steering Tie Rod End,2,False,Saab,Steering,Steering,2019,5540,365,True,False,False,10
157,Steering Tie Rod Assembly,1,False,Mercedes-Benz,Steering,Steering,2018,58313,365,True,False,True,14
291,Suspension Control Arm and Ball Joint Assembly,1,False,Volkswagen,Suspension,Control Arms,2016,544775,365,False,True,False,6
20,Engine Water Pump,1,False,Mercedes-Benz,Cooling,Water Pumps,2018,27771,365,True,False,False,4
41,Headlight Switch,1,False,Audi,Electrical,"Relays, Switches, Solenoids",2019,38092,365,True,False,False,4
228,Cup Holder,1,False,BMW,Body,Interior Trim,2019,272309,365,True,True,True,5
119,Engine Water Pump,1,False,Volkswagen,Cooling,Water Pumps,2017,861452,325,True,False,False,0
5,Fuel Pump Mounting Bracket,1,True,Mercedes-Benz,Fuel,Fuel Supply,2016,236046,9,True,True,True,0
455,Engine Oil Separator,1,False,Porsche,Engine,Emissions,2020,44301,365,True,True,True,4
27,Radiator Coolant Hose,1,False,Porsche,Cooling,"Hoses, Pipes, Tubes",2019,44732,365,True,True,True,12
92,Shock Mount,2,False,BMW,Suspension,Mountings & Bushings,2017,27553,365,False,True,False,13
361,Suspension Control Arm Bushing,4,False,Mercedes-Benz,Suspension,Mountings & Bushings,2019,92277,365,True,True,False,8
25,HVAC Heater Hose,1,False,BMW,Cooling,"Hoses, Pipes, Tubes",2020,14507,365,False,True,False,11
6,Engine Coolant Reservoir Cap,1,False,GMC,Cooling,Caps & Boots,2018,30716,213,True,True,False,0
6,Engine Mount,1,False,Volkswagen,Engine,Mountings & Bushings,2018,117893,365,True,False,False,2
20,Window Regulator,1,False,Jaguar,Body,Regulators,2020,70202,365,True,False,True,6
10,Door Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2018,41220,365,True,False,False,13
29,Vent Window Weatherstrip,1,False,Jaguar,Body,Gaskets & Seals,2017,284,365,False,False,False,18
275,Window Regulator,1,False,BMW,Body,Regulators,2018,154866,365,True,True,True,4
122,Engine Mount,1,False,Volvo,Engine,Mountings & Bushings,2019,149670,365,True,True,False,8
63,Engine Timing Belt Tensioner Roller,1,False,Volkswagen,Engine,Pulleys & Tensioners,2020,53919,365,False,True,False,10
4,Manual Transmission Shift Knob,1,False,Mercedes-Benz,Accessories,Shift Knobs,2017,261802,365,True,True,False,18
407,Headliner Retainer,8,True,Porsche,Body,Interior Trim,2020,64920,365,False,False,True,1
72,Engine Coolant Temperature Sensor,1,False,GMC,Electrical,Sensors & Senders,2019,958796,365,True,False,False,1
440,Engine Timing Belt Tensioner Pin,1,True,BMW,Engine,Hardware,2020,55775,365,True,True,True,2
20,High Intensity Discharge Headlight Control Module,2,False,Mercedes-Benz,Electrical,Headlamps,2019,1271944,27,True,True,False,0
141,Suspension Strut Mount,2,False,Mercedes-Benz,Suspension,Mountings & Bushings,2019,49686,365,True,True,False,7
21,Window Regulator,1,False,Mercedes-Benz,Body,Regulators,2018,176098,365,False,True,False,9
66,A/C Expansion Valve,1,False,Volkswagen,Climate Control,Expansion Valve,2020,317720,365,True,True,False,15
53,Door Mirror Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2020,1300678,365,True,True,True,5
358,Vacuum Hose Connector,1,False,Volvo,Fuel,"Hoses, Pipes, Tubes",2020,227303,365,True,True,True,11
99,Suspension Control Arm Bushing,2,False,Jaguar,Suspension,Mountings & Bushings,2016,32675,365,False,True,False,1
108,Seat Belt Receptacle Cover,2,False,Porsche,Body,Interior Trim,2016,12398,246,True,False,True,0
48,Dashboard Cover,1,False,Mercedes-Benz,Accessories,Interior Trim,2020,68327,365,False,False,False,21
150,Radiator Coolant Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2019,5904,365,True,True,True,17
5,Door Lock Actuator,1,False,Audi,Body,Doors & Windows,2020,131836,105,True,False,False,0
14,Grille Shell,1,False,BMW,Body,Grilles,2018,21205,365,False,False,True,11
5,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2020,816,365,False,False,False,15
514,Engine Coolant Pipe Adapter,1,False,Audi,Cooling,"Hoses, Pipes, Tubes",2020,450926,365,True,False,True,8
762,Interior Door Handle,2,False,BMW,Body,Doors & Windows,2019,83569,365,True,True,True,7
870,Brake Light Switch,1,False,Chrysler,Electrical,"Relays, Switches, Solenoids",2018,349356,365,True,True,False,9
888,Suspension Control Arm and Ball Joint Assembly,1,False,Audi,Suspension,Control Arms,2017,542549,365,False,True,False,7
175,Suspension Stabilizer Bar Link,2,False,Volkswagen,Suspension,Stabilizers,2018,314414,365,False,True,False,7
894,Trunk Lid Seal,1,False,Mercedes-Benz,Body,Gaskets & Seals,2016,67284,365,True,True,True,17
40,Engine Crankshaft Position Sensor,1,False,Jaguar,Engine,Sensors & Senders,2017,117978,365,False,True,False,2
396,Suspension Control Arm Bushing,2,False,Mercedes-Benz,Suspension,Mountings & Bushings,2016,1253811,365,True,True,False,10
1314,Engine Coolant Temperature Switch,1,False,Audi,Electrical,"Relays, Switches, Solenoids",2018,3792239,365,True,True,False,3
25,Suspension Stabilizer Bar Link,2,False,Jaguar,Suspension,Stabilizers,2017,181539,365,True,True,False,5
61,Universal Joint,2,False,Buick,Steering,Steering,2019,53537,365,True,False,False,20
95,Drive Belt Idler Pulley,1,False,Isuzu,Engine,Pulleys & Tensioners,2018,22913443,122,True,True,False,0
126,Engine Coolant Reservoir Cap,1,False,Hummer,Cooling,Caps & Boots,2020,18601405,365,True,True,False,2
9,Door Lock Actuator,1,False,Mini,Body,Doors & Windows,2020,1820144,120,False,False,True,0
410,Engine Cooling Fan Switch,1,False,BMW,Electrical,"Relays, Switches, Solenoids",2018,26955,365,True,True,False,11
1509,Engine Coolant Reservoir,1,False,Volkswagen,Cooling,Expansion Tanks & Parts,2020,3118124,365,True,True,False,4
190,Engine Oil Filler Cap,1,False,Audi,Engine,Caps & Boots,2019,79788,365,False,True,False,4
26,Steering Tie Rod End,1,False,Volkswagen,Steering,Steering,2016,258610,365,True,True,False,4
42,Ignition Coil,1,False,Volkswagen,Electrical,Ignition System,2017,136580,271,False,True,False,0
65,Steering Tie Rod End,2,False,Mercedes-Benz,Steering,Steering,2018,179138,365,True,True,False,6
168,Suspension Strut Bumper,2,False,Volkswagen,Suspension,Mountings & Bushings,2020,547792,365,True,False,False,5
122,Universal Joint,2,False,Dodge,Steering,Steering,2017,53537,365,True,False,False,18
84,Engine Cooling Fan Blade,1,False,Dodge,Cooling,Fans,2019,68423,365,True,True,False,11
3,Radiator Coolant Hose Flange,1,False,Audi,Cooling,Flanges & Housings,2019,6447,365,False,False,False,2
17,Suspension Stabilizer Bar Bushing,2,False,BMW,Suspension,Mountings & Bushings,2017,32949,128,False,False,False,0
35,Disc Brake Pad Wear Sensor,2,False,Porsche,Brakes,Sensors & Senders,2019,6442,365,False,False,False,10
174,Drive Belt Tensioner,1,False,Volkswagen,Engine,Pulleys & Tensioners,2016,210530,365,False,True,False,4
264,Steering Tie Rod End,1,False,Volvo,Steering,Steering,2016,184937,365,False,True,False,8
84,Windshield Washer Pump,1,False,BMW,Body,Wiper & Washer System,2020,56342,365,False,False,False,8
125,Fuel Pump Module Assembly,1,False,Audi,Fuel,Fuel Supply,2019,262074,365,True,True,False,5
82,Suspension Subframe Mounting Kit,1,False,Mercedes-Benz,Suspension,Mountings & Bushings,2018,177255,365,True,True,False,12
100,Electric Fuel Pump,1,False,Porsche,Fuel,Fuel Supply,2017,9801,365,False,True,True,3
278,HVAC Blower Motor,1,False,Audi,Climate Control,Motors & Servos,2020,78077,365,True,True,False,1
153,Drive Belt Idler Pulley,1,True,Jaguar,Engine,Pulleys & Tensioners,2020,136362,365,True,True,True,8
290,Engine Crankcase Breather Hose,1,False,Mercedes-Benz,Fuel,Emissions,2020,29738,365,True,True,True,11
346,Engine Coolant Thermostat Housing Cover,1,False,Volkswagen,Cooling,Flanges & Housings,2020,144824,365,True,True,True,8
4,Dash Panel Overlay,1,False,Mercedes-Benz,Accessories,Wood Trim,2020,13735,365,False,False,False,19
28,Fuel Pump Module Assembly,1,False,Mini,Fuel,Fuel Supply,2019,30888,152,True,True,True,0
54,Hood Lift Support,1,False,Volkswagen,Body,Lift Struts,2017,223923,71,False,False,False,0
650,Power Antenna,1,False,Volvo,Electrical,Antenna,2019,256672,365,True,True,False,19
2,Suspension Control Arm Bushing,2,False,Mercedes-Benz,Suspension,Mountings & Bushings,2018,137227,365,False,False,False,1
283,Door Mirror,2,False,Fiat,Body,Doors & Windows,2019,6675,365,True,False,False,12
510,Trunk Lid Seal,1,False,Porsche,Body,Gaskets & Seals,2017,23876,365,True,True,False,1
9,Suspension Ball Joint,1,False,Volkswagen,Suspension,Ball Joints,2020,1600,365,True,True,False,10
147,Windshield Seal,1,False,BMW,Body,Gaskets & Seals,2017,5650,365,True,True,False,5
864,Spark Plug Wire Holder,1,True,Mercedes-Benz,Electrical,Ignition System,2018,107641,365,True,True,True,1
66,Suspension Ball Joint,2,False,BMW,Suspension,Ball Joints,2019,531473,365,False,True,False,9
122,Headlight Assembly,1,False,Volvo,Electrical,Headlamps,2016,121168,365,True,True,True,7
4,Door Mirror Cover,1,False,Mercedes-Benz,Accessories,Exterior Trim,2019,62446,365,False,False,False,20
30,Engine Intake Manifold,1,False,GMC,Engine,Fuel Supply,2020,2604299,203,True,True,False,0
946,Cup Holder,1,False,BMW,Body,Interior Trim,2020,511562,365,True,True,True,2
155,Radiator Coolant Hose Kit,1,False,Triumph,Cooling,"Hoses, Pipes, Tubes",2016,2485,365,True,True,False,7
514,Headlight Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2018,971973,365,True,True,False,8
45,Windshield Seal,1,False,Volkswagen,Body,Gaskets & Seals,2018,22366,365,True,False,False,2
122,Vent Window Weatherstrip,1,False,Porsche,Body,Gaskets & Seals,2017,13129,365,True,True,True,5
18,Headlight Housing,1,False,Audi,Electrical,Headlamps,2019,110650,365,True,False,False,4
378,Targa Top Seal,1,False,Porsche,Body,Gaskets & Seals,2019,38247,365,True,True,True,11
84,Convertible Top Cable,1,True,Porsche,Body,"Cables, Controls, Levers",2020,14161,365,True,True,True,1
62,Steering Tie Rod End,1,False,Saab,Steering,Steering,2019,47033,365,False,False,True,10
121,Seat Slider,2,False,Volkswagen,Body,Miscellaneous,2019,62086,365,True,False,False,4
28,Engine Variable Timing Solenoid,1,False,Lexus,Engine,"Relays, Switches, Solenoids",2020,2606394,97,False,False,False,0
19,HVAC Heater Blend Door Actuator,1,False,Cadillac,Climate Control,Motors & Servos,2020,15820,365,True,True,False,2
285,Suspension Strut Bumper,2,False,Volvo,Suspension,Mountings & Bushings,2017,52689,365,True,False,True,3
126,Universal Joint,3,False,Triumph,Steering,Steering,2019,111580,365,True,False,False,20
58,Suspension Strut Bumper,2,False,Mini,Suspension,Mountings & Bushings,2017,13858,365,False,False,False,2
101,Engine Oil Pressure Sensor,1,False,Porsche,Electrical,Sensors & Senders,2019,19301,365,True,True,True,13
79,Engine Oil Pan,1,False,Volkswagen,Engine,Engine Mechanical,2019,204764,365,True,True,False,9
100,Universal Joint,3,False,Volvo,Steering,Steering,2017,111580,365,True,False,False,18
4,Disc Brake Hardware Kit,2,True,Mercedes-Benz,Brakes,Hardware,2019,380747,159,False,True,False,0
14,Engine Mount,1,False,Land Rover,Engine,Mountings & Bushings,2018,22130,365,True,True,False,7
31,Disc Brake Pad Wear Sensor,2,False,Audi,Brakes,Sensors & Senders,2019,45520,365,False,False,False,6
39,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2018,585,365,True,True,False,19
282,Engine Mount,1,False,Volvo,Engine,Mountings & Bushings,2016,41859,365,True,True,True,5
27,Bumper Cap,1,False,Porsche,Body,Bumpers & Moldings,2020,7085,365,False,False,True,5
48,Steering Tie Rod End,1,False,Mercedes-Benz,Steering,Steering,2016,201630,365,True,False,False,2
36,HVAC Blower Motor,1,False,Audi,Climate Control,Motors & Servos,2020,7447,365,True,True,False,11
212,Suspension Strut Mount,2,False,Volvo,Suspension,Mountings & Bushings,2020,60232,365,True,True,False,14
62,Suspension Control Arm,1,False,Volkswagen,Suspension,Control Arms,2019,133551,365,True,True,False,4
29,Radiator Coolant Hose,1,False,Mercedes-Benz,Cooling,"Hoses, Pipes, Tubes",2016,1695,365,True,True,False,12
608,Sun Visor Clip,2,False,Porsche,Body,Interior Trim,2016,72794,365,True,True,True,2
72,Brake Master Cylinder,1,False,MG,Brakes,Hydraulic Cylinders,2019,7905,365,True,True,False,10
15,Suspension Control Arm,1,False,Saab,Suspension,Control Arms,2020,55621,365,False,False,False,12
