units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,no_of_days,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
553,Headlight Washer Pump,1,False,Buick,Body,Wiper & Washer System,2019,4853427,365,True,True,False,7
932,Drive Belt Tensioner,1,False,BMW,Engine,Pulleys & Tensioners,2017,947573,365,False,True,False,10
117,Engine Oil Filter Housing Mount,2,True,BMW,Engine,Mountings & Bushings,2020,7705,365,True,False,True,1
459,Engine Oil Cooler,1,False,Audi,Engine,Engine Mechanical,2019,391854,365,True,True,False,4
1127,Fuel Tank Sending Unit,1,False,Porsche,Fuel,Sensors & Senders,2019,51643,365,True,True,True,4
296,Power Antenna,1,False,Audi,Electrical,Antenna,2017,256672,365,True,True,False,17
291,Engine Crankcase Breather Hose,1,False,Audi,Fuel,Emissions,2016,327678,365,True,True,True,3
165,Engine Coolant Bypass Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2016,1671,365,True,False,False,17
69,Radiator Coolant Hose,1,False,Jaguar,Cooling,"Hoses, Pipes, Tubes",2020,7642,365,True,True,False,21
66,Power Steering Reservoir,1,True,Volvo,Steering,Steering,2020,184889,365,True,True,True,4
126,Manual Transmission Shift Boot,1,False,Porsche,Body,Interior Trim,2017,24824,365,True,True,True,2
15,Convertible Top Seal,1,True,Saab,Body,Gaskets & Seals,2020,8298,365,False,False,False,1
522,Fuel Tank Sending Unit Gasket,2,False,Jaguar,Fuel,Gaskets & Seals,2017,118000,365,True,True,True,2
1765,Power Antenna,1,False,Volvo,Electrical,Antenna,2020,434354,365,True,True,True,1
29,Engine Coolant Reservoir Hose,1,False,BMW,Cooling,"Hoses, Pipes, Tubes",2018,16063,365,True,True,False,12
34,Engine Coolant Temperature Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2019,72191,365,False,False,False,12
138,Suspension Control Arm,1,False,Volkswagen,Suspension,Control Arms,2017,842069,365,True,True,False,1
146,Headlight Lens,1,True,BMW,Electrical,Headlamps,2018,149862,365,True,False,True,1
183,Windshield Washer Pump,2,False,Volvo,Body,Wiper & Washer System,2020,441736,365,False,False,False,5
10,Disc Brake Pad Wear Sensor,1,False,BMW,Brakes,Sensors & Senders,2019,10793,365,False,False,False,4
2,Suspension Strut Bumper,2,False,Mercedes-Benz,Suspension,Mountings & Bushings,2019,42017,365,True,False,False,4
251,Suspension Ball Joint,1,False,BMW,Suspension,Ball Joints,2018,60096,365,True,True,False,7
780,Power Steering Reservoir Hose,1,False,Porsche,Steering,"Hoses, Pipes, Tubes",2017,29792,365,True,True,True,5
3270,Engine Valve Cover Bolt,26,True,BMW,Engine,Hardware,2020,853164,365,True,True,True,2
7,Drive Belt Tensioner Pulley,1,False,Saab,Engine,Pulleys & Tensioners,2020,6783,365,True,True,False,11
6,Headlight Level Sensor,2,False,Mercedes-Benz,Electrical,Sensors & Senders,2017,437670,19,True,False,False,0
1314,Engine Coolant Temperature Switch,1,False,Volkswagen,Electrical,"Relays, Switches, Solenoids",2018,3792239,365,True,True,False,3
