sales_range,firstSold,vehicleMaxQty,isDevelopment,make,category,year,TotalVIO,SaleYearRank,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased
[51 - 150],2021-01-26 18:20:25.983,1,False,Scion,Engine,2021,1369763,1,True,False,False
[51 - 150],2021-01-26 18:20:25.983,1,False,Toyota,Engine,2021,1369763,1,True,False,False
[1 - 25],2021-01-26 18:20:25.937,1,False,Lexus,Engine,2021,3835690,1,False,False,False
[1 - 25],2021-01-26 18:20:25.937,1,False,Toyota,Engine,2021,3835690,1,False,False,False
[1 - 25],2021-01-26 18:20:25.687,4,False,Scion,Electrical,2021,14391,1,False,False,False
[1 - 25],2021-01-26 18:20:25.597,1,False,Toyota,Brakes,2021,307359,1,False,False,False
[26 - 50],2021-01-26 18:20:25.477,1,False,Lexus,Brakes,2021,1958911,1,True,False,False
[26 - 50],2021-01-26 18:20:25.477,1,False,Toyota,Brakes,2021,1958911,1,True,False,False
[1 - 25],2021-01-26 18:20:24.630,1,False,Mitsubishi,Engine,2021,187546,1,True,False,False
[1 - 25],2021-01-26 18:20:24.263,1,False,Nissan,Brakes,2021,379727,1,False,False,False
[1 - 25],2021-01-26 18:20:23.620,2,False,Jeep,Brakes,2021,0,1,False,False,False
[1 - 25],2021-01-26 18:20:23.290,1,False,Acura,Engine,2021,419654,1,False,False,False
[1 - 25],2021-01-26 18:20:23.290,1,False,Honda,Engine,2021,419654,1,False,False,False
[1 - 25],2021-01-26 18:20:22.927,1,False,Chevrolet,Engine,2021,98300,1,False,False,False
[1 - 25],2021-01-26 18:20:22.927,1,False,Pontiac,Engine,2021,98300,1,False,False,False
[1 - 25],2021-01-26 18:20:22.927,1,False,Workhorse,Engine,2021,98300,1,False,False,False
[1 - 25],2021-01-26 18:20:22.913,1,False,Buick,Engine,2021,1404835,1,False,False,False
[1 - 25],2021-01-26 18:20:22.913,1,False,Chevrolet,Engine,2021,1404835,1,False,False,False
[1 - 25],2021-01-26 18:20:22.913,1,False,GMC,Engine,2021,1404835,1,False,False,False
[1 - 25],2021-01-26 18:20:22.913,1,False,Oldsmobile,Engine,2021,1404835,1,False,False,False
[1 - 25],2021-01-26 18:20:22.913,1,False,Saab,Engine,2021,1404835,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Buick,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Cadillac,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Chevrolet,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,GMC,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Hummer,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Isuzu,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Oldsmobile,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Pontiac,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Saab,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.580,1,False,Saturn,Electrical,2021,8504270,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Acura,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,AM General,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,American Motors,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Asuna,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Buick,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Cadillac,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Chevrolet,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Geo,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,GMC,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Honda,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Isuzu,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Jeep,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Oldsmobile,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.563,1,False,Pontiac,Electrical,2021,17537072,1,False,False,False
[1 - 25],2021-01-26 18:20:22.547,1,False,Chevrolet,Electrical,2021,234470,1,False,False,False
[1 - 25],2021-01-26 18:20:22.547,1,False,Pontiac,Electrical,2021,234470,1,False,False,False
[1 - 25],2021-01-26 18:20:22.517,8,False,Chevrolet,Electrical,2021,3910331,1,False,False,False
[1 - 25],2021-01-26 18:20:22.517,8,False,GMC,Electrical,2021,3910331,1,False,False,False
[1 - 25],2021-01-26 18:20:22.517,8,False,Isuzu,Electrical,2021,3910331,1,False,False,False
[1 - 25],2021-01-26 18:20:22.517,8,False,Pontiac,Electrical,2021,3910331,1,False,False,False
[1 - 25],2021-01-26 18:20:21.833,1,False,Chevrolet,Engine,2021,590457,1,False,False,False
[1 - 25],2021-01-26 18:20:21.833,1,False,Pontiac,Engine,2021,590457,1,False,False,False
[1 - 25],2021-01-26 18:20:21.833,1,False,Saturn,Engine,2021,590457,1,False,False,False
[1 - 25],2021-01-26 18:20:21.313,2,False,Ford,Brakes,2021,794923,1,False,False,False
[1 - 25],2021-01-26 18:20:21.277,1,False,Ford,Brakes,2021,83271,1,False,False,False
[1 - 25],2021-01-26 18:20:21.220,1,False,Ford,Cooling,2021,498627,1,False,False,False
[1 - 25],2021-01-26 18:20:21.220,1,False,Mazda,Cooling,2021,498627,1,False,False,False
[1 - 25],2021-01-26 18:20:19.920,1,False,Chrysler,Engine,2021,491847,1,False,False,False
[1 - 25],2021-01-26 18:20:19.920,1,False,Dodge,Engine,2021,491847,1,False,False,False
[1 - 25],2021-01-26 18:20:19.857,1,False,Chrysler,Brakes,2021,1757246,1,False,False,False
[1 - 25],2021-01-26 18:20:19.857,1,False,Dodge,Brakes,2021,1757246,1,False,False,False
[1 - 25],2021-01-26 18:20:19.830,1,False,Chrysler,Brakes,2021,1757246,1,False,False,False
[1 - 25],2021-01-26 18:20:19.830,1,False,Dodge,Brakes,2021,1757246,1,False,False,False
[1 - 25],2021-01-26 17:53:24.180,2,False,BMW,Brakes,2021,44142,1,False,False,False
[1 - 25],2021-01-25 17:06:16.737,2,False,Subaru,Engine,2021,869129,1,False,False,False
[51 - 150],2021-01-21 00:41:51.463,1,False,Nissan,Engine,2021,1118274,1,True,False,False
[1 - 25],2021-01-21 00:41:46.457,2,False,BMW,Suspension,2021,231355,1,False,False,False
[1 - 25],2021-01-20 21:34:08.270,1,False,Porsche,Climate Control,2021,30252,1,False,False,True
[1 - 25],2021-01-18 21:50:52.577,1,True,Mercedes-Benz,Brakes,2021,1096156,1,True,False,True
[1 - 25],2021-01-15 00:46:20.680,2,True,Porsche,Drivetrain & Hub,2021,9583,1,False,False,False
[1 - 25],2021-01-14 23:43:24.203,2,True,Porsche,Drivetrain & Hub,2021,9069,1,False,False,False
[51 - 150],2021-01-13 19:02:30.477,1,True,Porsche,Electrical,2021,13608,1,False,False,True
[51 - 150],2021-01-07 00:29:37.567,2,True,BMW,Suspension,2021,852135,1,False,False,True
[26 - 50],2021-01-07 00:29:37.537,20,False,Audi,Body,2021,1614276,1,False,False,False
[1 - 25],2021-01-07 00:12:17.783,1,False,Mercedes-Benz,Fuel,2021,197679,1,False,False,False
[1 - 25],2021-01-07 00:12:17.267,1,True,Mini,Electrical,2021,168538,1,False,False,False
[26 - 50],2021-01-06 01:36:09.470,1,True,Mercedes-Benz,Steering,2021,21447,1,False,True,True
[51 - 150],2021-01-06 01:36:09.440,2,True,Mercedes-Benz,Suspension,2021,1212316,1,False,False,True
[1 - 25],2021-01-06 01:36:09.413,3,True,Mercedes-Benz,Electrical,2021,84269,1,False,False,True
[26 - 50],2021-01-06 01:36:09.380,1,True,Mercedes-Benz,Fuel,2021,798980,1,False,False,True
[1 - 25],2021-01-06 01:21:37.830,1,True,Mercedes-Benz,Fuel,2021,1391781,1,False,False,False
[1 - 25],2021-01-06 01:21:37.540,1,False,Dodge,Cooling,2021,42177,1,False,False,False
[1 - 25],2021-01-06 01:21:37.540,1,False,Freightliner,Cooling,2021,42177,1,False,False,False
[1 - 25],2021-01-06 01:21:37.540,1,False,Mercedes-Benz,Cooling,2021,42177,1,False,False,False
[1 - 25],2021-01-05 02:43:27.767,2,False,Porsche,Suspension,2021,80382,1,False,False,False
[1 - 25],2021-01-05 02:43:27.733,1,False,Porsche,Engine,2021,16760,1,False,False,False
[51 - 150],2021-01-05 02:43:27.700,2,True,Porsche,Engine,2021,64486,1,False,False,False
[51 - 150],2021-01-05 02:43:27.670,2,True,Porsche,Engine,2021,64486,1,True,False,False
[26 - 50],2021-01-05 02:43:27.643,1,True,Porsche,Drivetrain & Hub,2021,18487,1,False,False,True
[1 - 25],2020-12-31 17:35:24.263,1,False,Hyundai,Engine,2021,321518,2,False,False,False
[1 - 25],2020-12-31 17:35:24.263,1,False,Hyundai,Engine,2020,321518,1,False,False,False
[1 - 25],2020-12-31 17:35:24.263,1,False,Kia,Engine,2021,321518,2,False,False,False
[1 - 25],2020-12-31 17:35:24.263,1,False,Kia,Engine,2020,321518,1,False,False,False
[1 - 25],2020-12-31 17:35:24.237,2,False,BMW,Brakes,2021,145822,2,False,False,False
[1 - 25],2020-12-31 17:35:24.237,2,False,BMW,Brakes,2020,145822,1,False,False,False
[1 - 25],2020-12-31 17:35:24.207,1,True,BMW,Steering,2021,57124,2,False,False,False
[1 - 25],2020-12-31 17:35:24.207,1,True,BMW,Steering,2020,57124,1,False,False,False
